Covariate,Cell Type,Final Parameter,HDI 3%,HDI 97%,SD,Inclusion probability,Expected Sample,log2-fold change
"C(host_disease, Treatment('Healthy'))[T.IBS]",Bacteria*Bacteroidota*Bacteroidia*Bacteroidales*Prevotellaceae,0.0,,,0.0,0.0,170.1440335805323,7.510901643682863e-05
"C(host_disease, Treatment('Healthy'))[T.IBS]",Bacteria*Firmicutes*Clostridia*Lachnospirales*Lachnospiraceae,0.0,0.0,0.004,0.001,0.4968666666666667,3326.3980626503944,7.510901643714894e-05
"C(host_disease, Treatment('Healthy'))[T.IBS]",Bacteria*Firmicutes*Clostridia*Oscillospirales*Ruminococcaceae,0.0,-0.0,-0.0,0.0,0.006066666666666666,2225.296256414786,7.510901643714894e-05
"C(host_disease, Treatment('Healthy'))[T.IBS]",Bacteria*Firmicutes*Negativicutes*Veillonellales-Selenomonadales*Veillonellaceae,0.0,-0.0,-0.0,0.0,0.0030666666666666668,113.36869950138995,7.510901643682863e-05
"C(host_disease, Treatment('Healthy'))[T.IBS]",Bacteria*Bacteroidota*Bacteroidia*Bacteroidales*Bacteroidaceae,0.0,-0.002,-0.0,0.001,0.3332,3841.6042611830007,7.510901643714894e-05
"C(host_disease, Treatment('Healthy'))[T.IBS]",Bacteria*Verrucomicrobiota*Verrucomicrobiae*Verrucomicrobiales*Akkermansiaceae,0.0,,,0.0,0.0,112.46536804895118,7.510901643714894e-05
"C(host_disease, Treatment('Healthy'))[T.IBS]",Bacteria*Proteobacteria*Gammaproteobacteria*Burkholderiales*Comamonadaceae,0.0,-0.001,0.0,0.0,0.04766666666666667,40.79850076125417,7.510901643746928e-05
"C(host_disease, Treatment('Healthy'))[T.IBS]",Bacteria*Firmicutes*Negativicutes*Veillonellales-Selenomonadales*Selenomonadaceae,0.0,0.0,0.001,0.0,0.049,39.23798703924477,7.510901643746928e-05
"C(host_disease, Treatment('Healthy'))[T.IBS]",Bacteria*Proteobacteria*Gammaproteobacteria*Enterobacterales*Enterobacteriaceae,0.0,-0.0,0.0,0.0,6.666666666666667e-05,50.332215268287754,7.510901643746928e-05
"C(host_disease, Treatment('Healthy'))[T.IBS]",Bacteria*Proteobacteria*Gammaproteobacteria*Pseudomonadales*Moraxellaceae,0.0,,,0.0,0.0,40.83931966806724,7.510901643714894e-05
