Covariate,Cell Type,Final Parameter,HDI 3%,HDI 97%,SD,Inclusion probability,Expected Sample,log2-fold change
"C(host_disease, Treatment('Healthy'))[T.IBS]",Bacteria*Bacteroidota*Bacteroidia*Bacteroidales*Prevotellaceae*Prevotella,-0.10981132044123484,-0.18,-0.044,0.035,1.0,63.35828070290157,-0.1557265221841491
"C(host_disease, Treatment('Healthy'))[T.IBS]",Bacteria*Firmicutes*Clostridia*Oscillospirales*Ruminococcaceae*Faecalibacterium,-0.20109876999044937,-0.229,-0.172,0.016,1.0,910.0669445256666,-0.28742647294420204
"C(host_disease, Treatment('Healthy'))[T.IBS]",Bacteria*Firmicutes*Negativicutes*Veillonellales-Selenomonadales*Veillonellaceae*Dialister,0.0,0.0,0.057,0.009,0.07666666666666666,48.06801236113527,0.0026977252498890936
"C(host_disease, Treatment('Healthy'))[T.IBS]",Bacteria*Bacteroidota*Bacteroidia*Bacteroidales*Bacteroidaceae*Bacteroides,0.06718685918703826,0.049,0.085,0.01,1.0,3971.121356663274,0.0996278738119345
"C(host_disease, Treatment('Healthy'))[T.IBS]",Bacteria*Verrucomicrobiota*Verrucomicrobiae*Verrucomicrobiales*Akkermansiaceae*Akkermansia,0.0,-0.098,0.016,0.021,0.2986666666666667,73.892913644167,0.002697725249889413
"C(host_disease, Treatment('Healthy'))[T.IBS]",Bacteria*Firmicutes*Negativicutes*Veillonellales-Selenomonadales*Selenomonadaceae*Mitsuokella,0.0,-0.02,0.072,0.023,0.6092,16.586961454916377,0.002697725249889413
"C(host_disease, Treatment('Healthy'))[T.IBS]",Bacteria*Proteobacteria*Gammaproteobacteria*Pseudomonadales*Moraxellaceae*Acinetobacter,0.0,-0.053,0.02,0.012,0.1822,18.571291715511716,0.002697725249889413
"C(host_disease, Treatment('Healthy'))[T.IBS]",Bacteria*Actinobacteriota*Actinobacteria*Bifidobacteriales*Bifidobacteriaceae*Bifidobacterium,-0.029430853302471312,-0.108,0.026,0.036,0.8298666666666666,68.38722778518861,-0.03976202085871668
"C(host_disease, Treatment('Healthy'))[T.IBS]",Bacteria*Proteobacteria*Gammaproteobacteria*Enterobacterales*Yersiniaceae*Serratia,0.027049173279268743,-0.027,0.078,0.033,0.8832666666666666,16.721011554333703,0.041721433400036805
"C(host_disease, Treatment('Healthy'))[T.IBS]",Bacteria*Firmicutes*Clostridia*Lachnospirales*Lachnospiraceae*Agathobacter,-0.1730552935783968,-0.215,-0.138,0.022,1.0,330.8157714248782,-0.24696828859524755
"C(host_disease, Treatment('Healthy'))[T.IBS]",Bacteria*Firmicutes*Clostridia*Lachnospirales*Lachnospiraceae*Coprococcus,-0.11056049653626812,-0.168,-0.054,0.033,1.0,122.61586695870665,-0.15680735482120614
"C(host_disease, Treatment('Healthy'))[T.IBS]",Bacteria*Proteobacteria*Gammaproteobacteria*Pseudomonadales*Pseudomonadaceae*Pseudomonas,0.0,-0.041,0.009,0.004,0.0322,19.32920050817443,0.002697725249889413
"C(host_disease, Treatment('Healthy'))[T.IBS]",Bacteria*Firmicutes*Clostridia*Oscillospirales*Ruminococcaceae*Subdoligranulum,0.0,-0.11,0.004,0.032,0.2782,278.276975433672,0.002697725249889413
"C(host_disease, Treatment('Healthy'))[T.IBS]",Bacteria*Firmicutes*Clostridia*Oscillospirales*Ruminococcaceae*Ruminococcus,0.026067522073555387,-0.012,0.058,0.021,0.9250666666666667,217.8233589484786,0.040305210073670904
"C(host_disease, Treatment('Healthy'))[T.IBS]",Bacteria*Bacteroidota*Bacteroidia*Flavobacteriales*Flavobacteriaceae*Flavobacterium,0.0,-0.056,0.041,0.02,0.5659333333333333,16.586961454916377,0.002697725249889413
"C(host_disease, Treatment('Healthy'))[T.IBS]",Bacteria*Proteobacteria*Gammaproteobacteria*Burkholderiales*Comamonadaceae*Comamonas,0.0,-0.045,0.035,0.012,0.3198666666666667,16.570382784178385,0.002697725249889413
"C(host_disease, Treatment('Healthy'))[T.IBS]",Bacteria*Proteobacteria*Gammaproteobacteria*Burkholderiales*Neisseriaceae*Neisseria,-0.010281625421728492,-0.071,0.036,0.026,0.6584,16.985079917569884,-0.012135524758316134
"C(host_disease, Treatment('Healthy'))[T.IBS]",Bacteria*Bacteroidota*Bacteroidia*Bacteroidales*Rikenellaceae*Alistipes,0.07815829721377911,0.026,0.119,0.025,1.0,355.9446457949002,0.11545631304453406
"C(host_disease, Treatment('Healthy'))[T.IBS]",Bacteria*Actinobacteriota*Actinobacteria*Corynebacteriales*Corynebacteriaceae*Corynebacterium,-0.03948881841661425,-0.081,0.006,0.026,0.8338,22.62664318232197,-0.054272597250325155
"C(host_disease, Treatment('Healthy'))[T.IBS]",Bacteria*Proteobacteria*Gammaproteobacteria*Xanthomonadales*Xanthomonadaceae*Stenotrophomonas,0.02382096204899758,-0.01,0.058,0.02,0.6817333333333333,17.911409181723894,0.03706410906718206
"C(host_disease, Treatment('Healthy'))[T.IBS]",Bacteria*Bacteroidota*Bacteroidia*Bacteroidales*Prevotellaceae*Prevotellaceae_NK3B31_group,0.0,-0.084,0.019,0.019,0.34273333333333333,17.95048137652422,0.002697725249889413
"C(host_disease, Treatment('Healthy'))[T.IBS]",Bacteria*Firmicutes*Clostridia*Lachnospirales*Lachnospiraceae*Lachnoclostridium,0.08757477059748768,0.046,0.132,0.025,0.9998666666666667,113.31728350778957,0.1290414124978734
"C(host_disease, Treatment('Healthy'))[T.IBS]",Bacteria*Proteobacteria*Gammaproteobacteria*Enterobacterales*Hafniaceae*Hafnia-Obesumbacterium,0.011963107639568125,-0.03,0.043,0.019,0.8414666666666667,17.33244259508771,0.0199568413151151
"C(host_disease, Treatment('Healthy'))[T.IBS]",Bacteria*Firmicutes*Clostridia*Lachnospirales*Lachnospiraceae*Blautia,-0.07356376856728597,-0.099,-0.049,0.014,1.0,441.4448793392582,-0.10343235885123783
"C(host_disease, Treatment('Healthy'))[T.IBS]",Bacteria*Firmicutes*Bacilli*Lactobacillales*Streptococcaceae*Streptococcus,0.0,-0.054,0.046,0.018,0.33773333333333333,42.166114822836256,0.002697725249889413
"C(host_disease, Treatment('Healthy'))[T.IBS]",Bacteria*Proteobacteria*Gammaproteobacteria*Pasteurellales*Pasteurellaceae*Haemophilus,0.0,-0.017,0.038,0.011,0.3378,20.198673465143024,0.002697725249889413
"C(host_disease, Treatment('Healthy'))[T.IBS]",Bacteria*Proteobacteria*Gammaproteobacteria*Burkholderiales*Alcaligenaceae*Alcaligenes,0.0,-0.078,0.059,0.025,0.3564,16.37272650034098,0.002697725249889413
"C(host_disease, Treatment('Healthy'))[T.IBS]",Bacteria*Firmicutes*Bacilli*Lactobacillales*Lactobacillaceae*Lactobacillus,0.0,-0.074,0.016,0.02,0.3960666666666667,20.401673508346263,0.002697725249889413
"C(host_disease, Treatment('Healthy'))[T.IBS]",Bacteria*Firmicutes*Clostridia*Peptostreptococcales-Tissierellales*Peptostreptococcales-Tissierellales_fa*Fenollaria,0.0,-0.078,0.089,0.03,0.4560666666666667,22.547336241498655,0.0026977252498890936
"C(host_disease, Treatment('Healthy'))[T.IBS]",Bacteria*Firmicutes*Clostridia*Lachnospirales*Lachnospiraceae*Lachnospira,-0.10840096520984821,-0.156,-0.056,0.028,1.0,197.00241095207653,-0.15369180968593585
"C(host_disease, Treatment('Healthy'))[T.IBS]",Bacteria*Proteobacteria*Alphaproteobacteria*Caulobacterales*Caulobacteraceae*Brevundimonas,0.008317000513544674,-0.035,0.048,0.019,0.6453333333333333,17.01225442198529,0.014696620645851314
"C(host_disease, Treatment('Healthy'))[T.IBS]",Bacteria*Firmicutes*Clostridia*Oscillospirales*Oscillospiraceae*UCG-002,0.0,-0.058,0.023,0.017,0.4514666666666667,212.43093679214545,0.0026977252498890936
"C(host_disease, Treatment('Healthy'))[T.IBS]",Bacteria*Proteobacteria*Gammaproteobacteria*Enterobacterales*Enterobacteriaceae*Escherichia/Shigella,-0.002439257046510741,-0.073,0.06,0.034,0.6484666666666666,19.65197171795166,-0.0008213787945649443
"C(host_disease, Treatment('Healthy'))[T.IBS]",Bacteria*Bacteroidota*Bacteroidia*Bacteroidales*Tannerellaceae*Parabacteroides,0.10457715961453445,0.047,0.152,0.027,1.0,308.9545231587102,0.15357067481603198
"C(host_disease, Treatment('Healthy'))[T.IBS]",Bacteria*Firmicutes*Clostridia*Oscillospirales*Oscillospiraceae*UCG-005,0.0,-0.011,0.044,0.01,0.1682,83.98321288031258,0.0026977252498890936
"C(host_disease, Treatment('Healthy'))[T.IBS]",Bacteria*Firmicutes*Clostridia*Peptostreptococcales-Tissierellales*Peptostreptococcaceae*Romboutsia,-0.06929943930646487,-0.1,-0.042,0.027,0.8794666666666666,45.30047385918318,-0.0972802321739336
"C(host_disease, Treatment('Healthy'))[T.IBS]",Bacteria*Firmicutes*Clostridia*Christensenellales*Christensenellaceae*Christensenellaceae_R-7_group,-0.008488011682197833,-0.066,0.043,0.028,0.7460666666666667,129.55803410037169,-0.009547887111025189
"C(host_disease, Treatment('Healthy'))[T.IBS]",Bacteria*Proteobacteria*Gammaproteobacteria*Enterobacterales*Morganellaceae*Proteus,0.0,-0.024,0.045,0.008,0.14806666666666668,16.356361957475787,0.0026977252498890936
"C(host_disease, Treatment('Healthy'))[T.IBS]",Bacteria*Firmicutes*Clostridia*Peptostreptococcales-Tissierellales*Peptostreptococcaceae*Intestinibacter,0.0,-0.057,0.067,0.025,0.5434666666666667,27.983552649452044,0.0026977252498890936
"C(host_disease, Treatment('Healthy'))[T.IBS]",Bacteria*Bacteroidota*Bacteroidia*Bacteroidales*Prevotellaceae*Prevotellaceae_YAB2003_group,0.0,-0.082,0.019,0.013,0.13733333333333334,16.405504720635886,0.002697725249889413
"C(host_disease, Treatment('Healthy'))[T.IBS]",Bacteria*Bacteroidota*Bacteroidia*Bacteroidales*Prevotellaceae*Alloprevotella,0.0,-0.047,0.032,0.011,0.1878,18.25824816561796,0.0026977252498890936
"C(host_disease, Treatment('Healthy'))[T.IBS]",Bacteria*Firmicutes*Clostridia*Lachnospirales*Lachnospiraceae*Roseburia,0.0,-0.057,0.004,0.014,0.299,136.53990718262847,0.002697725249889413
"C(host_disease, Treatment('Healthy'))[T.IBS]",Bacteria*Firmicutes*Clostridia*Peptostreptococcales-Tissierellales*Peptostreptococcales-Tissierellales_fa*Anaerococcus,0.0,-0.099,0.048,0.041,0.5775333333333333,19.601712447852815,0.002697725249889413
"C(host_disease, Treatment('Healthy'))[T.IBS]",Bacteria*Firmicutes*Clostridia*Lachnospirales*Lachnospiraceae*Lachnospiraceae_NK4A136_group,-0.06730251476766339,-0.1,-0.028,0.021,0.9836666666666667,103.26664375448502,-0.09439927904477506
