Covariate,Cell Type,Final Parameter,HDI 3%,HDI 97%,SD,Inclusion probability,Expected Sample,log2-fold change
"C(host_disease, Treatment('Healthy'))[T.IBS]",Bacteria*Bacteroidota*Bacteroidia*Bacteroidales,0.0,-0.004,0.033,0.011,0.6136,6794.767216720069,0.0031530352680049453
"C(host_disease, Treatment('Healthy'))[T.IBS]",Bacteria*Firmicutes*Clostridia*Oscillospirales,0.0,-0.01,0.024,0.009,0.6021333333333333,3401.2832571632025,0.0031530352680046256
"C(host_disease, Treatment('Healthy'))[T.IBS]",Bacteria*Firmicutes*Negativicutes*Veillonellales-Selenomonadales,0.0,-0.012,0.028,0.008,0.35533333333333333,139.0603578439123,0.0031530352680049453
"C(host_disease, Treatment('Healthy'))[T.IBS]",Bacteria*Firmicutes*Clostridia*Lachnospirales,-0.013951940374488315,-0.039,0.007,0.014,0.8656,3330.761140573362,-0.01697535992104759
"C(host_disease, Treatment('Healthy'))[T.IBS]",Bacteria*Verrucomicrobiota*Verrucomicrobiae*Verrucomicrobiales,0.0,-0.023,0.017,0.009,0.6627333333333333,129.39995935632254,0.0031530352680049453
"C(host_disease, Treatment('Healthy'))[T.IBS]",Bacteria*Proteobacteria*Gammaproteobacteria*Burkholderiales,0.0,0.0,0.0,0.0,0.0,167.48739052328688,0.0031530352680046256
"C(host_disease, Treatment('Healthy'))[T.IBS]",Bacteria*Proteobacteria*Gammaproteobacteria*Enterobacterales,0.0,-0.026,0.024,0.009,0.4136,66.5469735832708,0.003153035268005265
"C(host_disease, Treatment('Healthy'))[T.IBS]",Bacteria*Proteobacteria*Gammaproteobacteria*Pseudomonadales,0.0,-0.022,0.024,0.009,0.5286666666666666,55.69598534662568,0.0031530352680049453
"C(host_disease, Treatment('Healthy'))[T.IBS]",Bacteria*Actinobacteriota*Actinobacteria*Bifidobacteriales,0.0,-0.027,0.011,0.007,0.30873333333333336,128.24058473368564,0.0031530352680049453
"C(host_disease, Treatment('Healthy'))[T.IBS]",Bacteria*Firmicutes*Clostridia*Peptostreptococcales-Tissierellales,0.0,-0.017,0.018,0.007,0.48533333333333334,199.12008162210833,0.0031530352680049453
"C(host_disease, Treatment('Healthy'))[T.IBS]",Bacteria*Bacteroidota*Bacteroidia*Flavobacteriales,0.0,-0.042,0.025,0.011,0.3873333333333333,46.941778005895344,0.0031530352680049453
"C(host_disease, Treatment('Healthy'))[T.IBS]",Bacteria*Actinobacteriota*Actinobacteria*Corynebacteriales,0.0,-0.025,0.025,0.011,0.5667333333333333,59.6150505365703,0.0031530352680046256
"C(host_disease, Treatment('Healthy'))[T.IBS]",Bacteria*Proteobacteria*Gammaproteobacteria*Xanthomonadales,0.0,-0.019,0.015,0.006,0.45813333333333334,47.27152321370546,0.0031530352680049453
"C(host_disease, Treatment('Healthy'))[T.IBS]",Bacteria*Firmicutes*Bacilli*Lactobacillales,0.0,-0.032,0.005,0.006,0.2036,128.36888946009046,0.0031530352680046256
"C(host_disease, Treatment('Healthy'))[T.IBS]",Bacteria*Firmicutes*Bacilli*Erysipelotrichales,0.0,-0.019,0.021,0.007,0.394,256.4434232030599,0.0031530352680049453
"C(host_disease, Treatment('Healthy'))[T.IBS]",Bacteria*Proteobacteria*Gammaproteobacteria*Pasteurellales,0.0,-0.032,0.021,0.01,0.39266666666666666,63.93762942635521,0.0031530352680049453
"C(host_disease, Treatment('Healthy'))[T.IBS]",Bacteria*Firmicutes*Bacilli*RF39,0.0,-0.023,0.014,0.007,0.4421333333333333,86.04823989243174,0.0031530352680046256
"C(host_disease, Treatment('Healthy'))[T.IBS]",Bacteria*Proteobacteria*Alphaproteobacteria*Caulobacterales,0.0,-0.027,0.006,0.008,0.5424666666666667,45.73702147976805,0.0031530352680046256
"C(host_disease, Treatment('Healthy'))[T.IBS]",Bacteria*Firmicutes*Bacilli*Bacillales,0.0,-0.018,0.03,0.011,0.5749333333333333,57.622209096173755,0.0031530352680049453
