Run,Assay Type,AvgSpotLen,Bases,BioProject,BioSample,BioSampleModel,Bytes,Center Name,Collection_date,Consent,DATASTORE filetype,DATASTORE provider,DATASTORE region,Experiment,filename2,filename,geo_loc_name_country,geo_loc_name_country_continent,geo_loc_name,Host,Id,Instrument,Isolation_source,lat_lon,Library Name,LibraryLayout,LibrarySelection,LibrarySource,Organism,Platform,ReleaseDate,Sample Name,SRA Study
SRR11944139,AMPLICON,502,30559752,PRJNA637763,SAMN15154131,Metagenome or environmental,18268205,CYKINSO,2017-09,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX8488714,c094_R2.fastq.gz,c094_R1.fastq.gz,Japan,Asia,Japan,Homo sapiens,c094,Illumina MiSeq,gut,35.68 N 139.70 E,c094,PAIRED,PCR,METAGENOMIC,gut metagenome,ILLUMINA,2020-06-07T00:00:00Z,IBS-74-CYK2020,SRP266324
SRR11944140,AMPLICON,502,11288474,PRJNA637763,SAMN15154130,Metagenome or environmental,6535411,CYKINSO,2017-06,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX8488713,c093_R2.fastq.gz,c093_R1.fastq.gz,Japan,Asia,Japan,Homo sapiens,c093,Illumina MiSeq,gut,35.68 N 139.70 E,c093,PAIRED,PCR,METAGENOMIC,gut metagenome,ILLUMINA,2020-06-07T00:00:00Z,IBS-73-CYK2020,SRP266324
SRR11944141,AMPLICON,502,19406316,PRJNA637763,SAMN15154129,Metagenome or environmental,10497749,CYKINSO,2018-02,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX8488712,c092_R2.fastq.gz,c092_R1.fastq.gz,Japan,Asia,Japan,Homo sapiens,c092,Illumina MiSeq,gut,35.68 N 139.70 E,c092,PAIRED,PCR,METAGENOMIC,gut metagenome,ILLUMINA,2020-06-07T00:00:00Z,IBS-72-CYK2020,SRP266324
SRR11944142,AMPLICON,502,23354546,PRJNA637763,SAMN15154128,Metagenome or environmental,14946417,CYKINSO,2017-07,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX8488711,c091_R2.fastq.gz,c091_R1.fastq.gz,Japan,Asia,Japan,Homo sapiens,c091,Illumina MiSeq,gut,35.68 N 139.70 E,c091,PAIRED,PCR,METAGENOMIC,gut metagenome,ILLUMINA,2020-06-07T00:00:00Z,IBS-71-CYK2020,SRP266324
SRR11944143,AMPLICON,502,32784616,PRJNA637763,SAMN15154127,Metagenome or environmental,23277636,CYKINSO,2017-03,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX8488710,c090_R2.fastq.gz,c090_R1.fastq.gz,Japan,Asia,Japan,Homo sapiens,c090,Illumina MiSeq,gut,35.68 N 139.70 E,c090,PAIRED,PCR,METAGENOMIC,gut metagenome,ILLUMINA,2020-06-07T00:00:00Z,IBS-70-CYK2020,SRP266324
SRR11944144,AMPLICON,502,21224560,PRJNA637763,SAMN15154126,Metagenome or environmental,11336582,CYKINSO,2018-04,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX8488709,c089_R2.fastq.gz,c089_R1.fastq.gz,Japan,Asia,Japan,Homo sapiens,c089,Illumina MiSeq,gut,35.68 N 139.70 E,c089,PAIRED,PCR,METAGENOMIC,gut metagenome,ILLUMINA,2020-06-07T00:00:00Z,IBS-69-CYK2020,SRP266324
SRR11944145,AMPLICON,502,29677236,PRJNA637763,SAMN15154125,Metagenome or environmental,19299596,CYKINSO,2017-07,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX8488708,c088_R2.fastq.gz,c088_R1.fastq.gz,Japan,Asia,Japan,Homo sapiens,c088,Illumina MiSeq,gut,35.68 N 139.70 E,c088,PAIRED,PCR,METAGENOMIC,gut metagenome,ILLUMINA,2020-06-07T00:00:00Z,IBS-68-CYK2020,SRP266324
SRR11944146,AMPLICON,502,19748178,PRJNA637763,SAMN15154124,Metagenome or environmental,11533246,CYKINSO,2018-04,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX8488707,c087_R2.fastq.gz,c087_R1.fastq.gz,Japan,Asia,Japan,Homo sapiens,c087,Illumina MiSeq,gut,35.68 N 139.70 E,c087,PAIRED,PCR,METAGENOMIC,gut metagenome,ILLUMINA,2020-06-07T00:00:00Z,IBS-67-CYK2020,SRP266324
SRR11944147,AMPLICON,502,19033832,PRJNA637763,SAMN15154123,Metagenome or environmental,10660850,CYKINSO,2018-03,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX8488706,c086_R2.fastq.gz,c086_R1.fastq.gz,Japan,Asia,Japan,Homo sapiens,c086,Illumina MiSeq,gut,35.68 N 139.70 E,c086,PAIRED,PCR,METAGENOMIC,gut metagenome,ILLUMINA,2020-06-07T00:00:00Z,IBS-66-CYK2020,SRP266324
SRR11944148,AMPLICON,502,19599586,PRJNA637763,SAMN15154122,Metagenome or environmental,11179772,CYKINSO,2018-03,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX8488705,c085_R2.fastq.gz,c085_R1.fastq.gz,Japan,Asia,Japan,Homo sapiens,c085,Illumina MiSeq,gut,35.68 N 139.70 E,c085,PAIRED,PCR,METAGENOMIC,gut metagenome,ILLUMINA,2020-06-07T00:00:00Z,IBS-65-CYK2020,SRP266324
SRR11944149,AMPLICON,502,32840338,PRJNA637763,SAMN15154041,Metagenome or environmental,19629971,CYKINSO,2017-09,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX8488704,c010_R2.fastq.gz,c010_R1.fastq.gz,Japan,Asia,Japan,Homo sapiens,c010,Illumina MiSeq,gut,35.68 N 139.70 E,c010,PAIRED,PCR,METAGENOMIC,gut metagenome,ILLUMINA,2020-06-07T00:00:00Z,IBS-10-CYK2020,SRP266324
SRR11944150,AMPLICON,502,16275342,PRJNA637763,SAMN15154121,Metagenome or environmental,9526416,CYKINSO,2018-04,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX8488703,c084_R2.fastq.gz,c084_R1.fastq.gz,Japan,Asia,Japan,Homo sapiens,c084,Illumina MiSeq,gut,35.68 N 139.70 E,c084,PAIRED,PCR,METAGENOMIC,gut metagenome,ILLUMINA,2020-06-07T00:00:00Z,IBS-64-CYK2020,SRP266324
SRR11944151,AMPLICON,502,17501728,PRJNA637763,SAMN15154120,Metagenome or environmental,10084683,CYKINSO,2018-03,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX8488702,c083_R2.fastq.gz,c083_R1.fastq.gz,Japan,Asia,Japan,Homo sapiens,c083,Illumina MiSeq,gut,35.68 N 139.70 E,c083,PAIRED,PCR,METAGENOMIC,gut metagenome,ILLUMINA,2020-06-07T00:00:00Z,IBS-63-CYK2020,SRP266324
SRR11944152,AMPLICON,502,16533370,PRJNA637763,SAMN15154119,Metagenome or environmental,9428557,CYKINSO,2018-04,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX8488701,c082_R2.fastq.gz,c082_R1.fastq.gz,Japan,Asia,Japan,Homo sapiens,c082,Illumina MiSeq,gut,35.68 N 139.70 E,c082,PAIRED,PCR,METAGENOMIC,gut metagenome,ILLUMINA,2020-06-07T00:00:00Z,IBS-62-CYK2020,SRP266324
SRR11944153,AMPLICON,502,18293382,PRJNA637763,SAMN15154118,Metagenome or environmental,10478853,CYKINSO,2018-03,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX8488700,c081_R2.fastq.gz,c081_R1.fastq.gz,Japan,Asia,Japan,Homo sapiens,c081,Illumina MiSeq,gut,35.68 N 139.70 E,c081,PAIRED,PCR,METAGENOMIC,gut metagenome,ILLUMINA,2020-06-07T00:00:00Z,IBS-61-CYK2020,SRP266324
SRR11944154,AMPLICON,502,17766282,PRJNA637763,SAMN15154117,Metagenome or environmental,10545887,CYKINSO,2017-08,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX8488699,c080_R2.fastq.gz,c080_R1.fastq.gz,Japan,Asia,Japan,Homo sapiens,c080,Illumina MiSeq,gut,35.68 N 139.70 E,c080,PAIRED,PCR,METAGENOMIC,gut metagenome,ILLUMINA,2020-06-07T00:00:00Z,IBS-60-CYK2020,SRP266324
SRR11944156,AMPLICON,502,18737150,PRJNA637763,SAMN15154115,Metagenome or environmental,10302785,CYKINSO,2017-12,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX8488697,c078_R2.fastq.gz,c078_R1.fastq.gz,Japan,Asia,Japan,Homo sapiens,c078,Illumina MiSeq,gut,35.68 N 139.70 E,c078,PAIRED,PCR,METAGENOMIC,gut metagenome,ILLUMINA,2020-06-07T00:00:00Z,IBS-58-CYK2020,SRP266324
SRR11944157,AMPLICON,502,22396228,PRJNA637763,SAMN15154114,Metagenome or environmental,12816720,CYKINSO,2017-12,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX8488696,c077_R2.fastq.gz,c077_R1.fastq.gz,Japan,Asia,Japan,Homo sapiens,c077,Illumina MiSeq,gut,35.68 N 139.70 E,c077,PAIRED,PCR,METAGENOMIC,gut metagenome,ILLUMINA,2020-06-07T00:00:00Z,IBS-57-CYK2020,SRP266324
SRR11944158,AMPLICON,502,19931910,PRJNA637763,SAMN15154113,Metagenome or environmental,11757703,CYKINSO,2017-07,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX8488695,c076_R2.fastq.gz,c076_R1.fastq.gz,Japan,Asia,Japan,Homo sapiens,c076,Illumina MiSeq,gut,35.68 N 139.70 E,c076,PAIRED,PCR,METAGENOMIC,gut metagenome,ILLUMINA,2020-06-07T00:00:00Z,IBS-56-CYK2020,SRP266324
