run_accession	sample_accession	secondary_sample_accession	experiment_accession	study_accession	tax_id	scientific_name	fastq_ftp	submitted_ftp	sra_ftp
SRR11944141	SAMN15154129	SRS6788287	SRX8488712	PRJNA637763	749906	gut metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/SRR119/041/SRR11944141/SRR11944141_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR119/041/SRR11944141/SRR11944141_2.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR119/041/SRR11944141
SRR11944142	SAMN15154128	SRS6788286	SRX8488711	PRJNA637763	749906	gut metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/SRR119/042/SRR11944142/SRR11944142_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR119/042/SRR11944142/SRR11944142_2.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR119/042/SRR11944142
SRR11944146	SAMN15154124	SRS6788282	SRX8488707	PRJNA637763	749906	gut metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/SRR119/046/SRR11944146/SRR11944146_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR119/046/SRR11944146/SRR11944146_2.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR119/046/SRR11944146
SRR11944148	SAMN15154122	SRS6788280	SRX8488705	PRJNA637763	749906	gut metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/SRR119/048/SRR11944148/SRR11944148_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR119/048/SRR11944148/SRR11944148_2.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR119/048/SRR11944148
SRR11944151	SAMN15154120	SRS6788277	SRX8488702	PRJNA637763	749906	gut metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/SRR119/051/SRR11944151/SRR11944151_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR119/051/SRR11944151/SRR11944151_2.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR119/051/SRR11944151
SRR11944158	SAMN15154113	SRS6788270	SRX8488695	PRJNA637763	749906	gut metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/SRR119/058/SRR11944158/SRR11944158_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR119/058/SRR11944158/SRR11944158_2.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR119/058/SRR11944158
SRR11944160	SAMN15154040	SRS6788268	SRX8488693	PRJNA637763	749906	gut metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/SRR119/060/SRR11944160/SRR11944160_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR119/060/SRR11944160/SRR11944160_2.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR119/060/SRR11944160
SRR11944162	SAMN15154110	SRS6788266	SRX8488691	PRJNA637763	749906	gut metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/SRR119/062/SRR11944162/SRR11944162_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR119/062/SRR11944162/SRR11944162_2.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR119/062/SRR11944162
SRR11944166	SAMN15154106	SRS6788262	SRX8488687	PRJNA637763	749906	gut metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/SRR119/066/SRR11944166/SRR11944166_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR119/066/SRR11944166/SRR11944166_2.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR119/066/SRR11944166
SRR11944167	SAMN15154105	SRS6788261	SRX8488686	PRJNA637763	749906	gut metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/SRR119/067/SRR11944167/SRR11944167_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR119/067/SRR11944167/SRR11944167_2.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR119/067/SRR11944167
SRR11944170	SAMN15154102	SRS6788258	SRX8488683	PRJNA637763	749906	gut metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/SRR119/070/SRR11944170/SRR11944170_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR119/070/SRR11944170/SRR11944170_2.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR119/070/SRR11944170
SRR11944176	SAMN15154097	SRS6788252	SRX8488677	PRJNA637763	749906	gut metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/SRR119/076/SRR11944176/SRR11944176_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR119/076/SRR11944176/SRR11944176_2.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR119/076/SRR11944176
SRR11944178	SAMN15154095	SRS6788250	SRX8488675	PRJNA637763	749906	gut metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/SRR119/078/SRR11944178/SRR11944178_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR119/078/SRR11944178/SRR11944178_2.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR119/078/SRR11944178
SRR11944182	SAMN15154038	SRS6788246	SRX8488671	PRJNA637763	749906	gut metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/SRR119/082/SRR11944182/SRR11944182_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR119/082/SRR11944182/SRR11944182_2.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR119/082/SRR11944182
SRR11944187	SAMN15154087	SRS6788241	SRX8488666	PRJNA637763	749906	gut metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/SRR119/087/SRR11944187/SRR11944187_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR119/087/SRR11944187/SRR11944187_2.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR119/087/SRR11944187
SRR11944190	SAMN15154084	SRS6788238	SRX8488663	PRJNA637763	749906	gut metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/SRR119/090/SRR11944190/SRR11944190_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR119/090/SRR11944190/SRR11944190_2.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR119/090/SRR11944190
SRR11944191	SAMN15154083	SRS6788237	SRX8488662	PRJNA637763	749906	gut metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/SRR119/091/SRR11944191/SRR11944191_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR119/091/SRR11944191/SRR11944191_2.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR119/091/SRR11944191
SRR11944192	SAMN15154082	SRS6788236	SRX8488661	PRJNA637763	749906	gut metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/SRR119/092/SRR11944192/SRR11944192_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR119/092/SRR11944192/SRR11944192_2.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR119/092/SRR11944192
SRR11944194	SAMN15154081	SRS6788235	SRX8488659	PRJNA637763	749906	gut metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/SRR119/094/SRR11944194/SRR11944194_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR119/094/SRR11944194/SRR11944194_2.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR119/094/SRR11944194
SRR11944195	SAMN15154080	SRS6788233	SRX8488658	PRJNA637763	749906	gut metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/SRR119/095/SRR11944195/SRR11944195_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR119/095/SRR11944195/SRR11944195_2.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR119/095/SRR11944195
SRR11944196	SAMN15154079	SRS6788232	SRX8488657	PRJNA637763	749906	gut metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/SRR119/096/SRR11944196/SRR11944196_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR119/096/SRR11944196/SRR11944196_2.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR119/096/SRR11944196
SRR11944199	SAMN15154076	SRS6788229	SRX8488654	PRJNA637763	749906	gut metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/SRR119/099/SRR11944199/SRR11944199_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR119/099/SRR11944199/SRR11944199_2.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR119/099/SRR11944199
