run_accession	sample_accession	secondary_sample_accession	experiment_accession	study_accession	tax_id	scientific_name	fastq_ftp	submitted_ftp	sra_ftp
SRR5245602	SAMN06322105	SRS1969943	SRX2552120	PRJNA373876	408170	human gut metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/SRR524/002/SRR5245602/SRR5245602.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR524/002/SRR5245602
SRR5245607	SAMN06322100	SRS1969948	SRX2552125	PRJNA373876	408170	human gut metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/SRR524/007/SRR5245607/SRR5245607.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR524/007/SRR5245607
SRR5245609	SAMN06322098	SRS1969950	SRX2552127	PRJNA373876	408170	human gut metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/SRR524/009/SRR5245609/SRR5245609.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR524/009/SRR5245609
SRR5245612	SAMN06322095	SRS1969953	SRX2552130	PRJNA373876	408170	human gut metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/SRR524/002/SRR5245612/SRR5245612.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR524/002/SRR5245612
SRR5245614	SAMN06322093	SRS1969955	SRX2552132	PRJNA373876	408170	human gut metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/SRR524/004/SRR5245614/SRR5245614.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR524/004/SRR5245614
SRR5245619	SAMN06322088	SRS1969960	SRX2552137	PRJNA373876	408170	human gut metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/SRR524/009/SRR5245619/SRR5245619.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR524/009/SRR5245619
SRR5245620	SAMN06322087	SRS1969961	SRX2552138	PRJNA373876	408170	human gut metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/SRR524/000/SRR5245620/SRR5245620.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR524/000/SRR5245620
SRR5245627	SAMN06322080	SRS1969968	SRX2552145	PRJNA373876	408170	human gut metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/SRR524/007/SRR5245627/SRR5245627.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR524/007/SRR5245627
SRR5245631	SAMN06322076	SRS1969972	SRX2552149	PRJNA373876	408170	human gut metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/SRR524/001/SRR5245631/SRR5245631.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR524/001/SRR5245631
SRR5245633	SAMN06322074	SRS1969974	SRX2552151	PRJNA373876	408170	human gut metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/SRR524/003/SRR5245633/SRR5245633.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR524/003/SRR5245633
SRR5245635	SAMN06322072	SRS1969976	SRX2552153	PRJNA373876	408170	human gut metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/SRR524/005/SRR5245635/SRR5245635.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR524/005/SRR5245635
SRR5245636	SAMN06322071	SRS1969977	SRX2552154	PRJNA373876	408170	human gut metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/SRR524/006/SRR5245636/SRR5245636.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR524/006/SRR5245636
SRR5245642	SAMN06322065	SRS1969983	SRX2552160	PRJNA373876	408170	human gut metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/SRR524/002/SRR5245642/SRR5245642.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR524/002/SRR5245642
SRR5245643	SAMN06322064	SRS1969984	SRX2552161	PRJNA373876	408170	human gut metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/SRR524/003/SRR5245643/SRR5245643.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR524/003/SRR5245643
SRR5245644	SAMN06322063	SRS1969985	SRX2552162	PRJNA373876	408170	human gut metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/SRR524/004/SRR5245644/SRR5245644.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR524/004/SRR5245644
SRR5245645	SAMN06322062	SRS1969986	SRX2552163	PRJNA373876	408170	human gut metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/SRR524/005/SRR5245645/SRR5245645.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR524/005/SRR5245645
SRR5245603	SAMN06322104	SRS1969944	SRX2552121	PRJNA373876	408170	human gut metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/SRR524/003/SRR5245603/SRR5245603.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR524/003/SRR5245603
SRR5245604	SAMN06322103	SRS1969945	SRX2552122	PRJNA373876	408170	human gut metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/SRR524/004/SRR5245604/SRR5245604.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR524/004/SRR5245604
SRR5245605	SAMN06322102	SRS1969946	SRX2552123	PRJNA373876	408170	human gut metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/SRR524/005/SRR5245605/SRR5245605.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR524/005/SRR5245605
SRR5245606	SAMN06322101	SRS1969947	SRX2552124	PRJNA373876	408170	human gut metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/SRR524/006/SRR5245606/SRR5245606.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR524/006/SRR5245606
SRR5245608	SAMN06322099	SRS1969949	SRX2552126	PRJNA373876	408170	human gut metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/SRR524/008/SRR5245608/SRR5245608.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR524/008/SRR5245608
SRR5245610	SAMN06322097	SRS1969951	SRX2552128	PRJNA373876	408170	human gut metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/SRR524/000/SRR5245610/SRR5245610.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR524/000/SRR5245610
SRR5245613	SAMN06322094	SRS1969954	SRX2552131	PRJNA373876	408170	human gut metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/SRR524/003/SRR5245613/SRR5245613.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR524/003/SRR5245613
SRR5245615	SAMN06322092	SRS1969956	SRX2552133	PRJNA373876	408170	human gut metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/SRR524/005/SRR5245615/SRR5245615.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR524/005/SRR5245615
SRR5245616	SAMN06322091	SRS1969957	SRX2552134	PRJNA373876	408170	human gut metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/SRR524/006/SRR5245616/SRR5245616.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR524/006/SRR5245616
SRR5245617	SAMN06322090	SRS1969958	SRX2552135	PRJNA373876	408170	human gut metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/SRR524/007/SRR5245617/SRR5245617.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR524/007/SRR5245617
