run_accession	sample_accession	secondary_sample_accession	experiment_accession	study_accession	tax_id	scientific_name	fastq_ftp	submitted_ftp	sra_ftp
SRR9160233	SAMN11852794	SRS4846641	SRX5933438	PRJNA544721	408170	human gut metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/SRR916/003/SRR9160233/SRR9160233.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR916/003/SRR9160233
SRR9160236	SAMN11852789	SRS4846637	SRX5933435	PRJNA544721	408170	human gut metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/SRR916/006/SRR9160236/SRR9160236.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR916/006/SRR9160236
SRR9160237	SAMN11852792	SRS4846635	SRX5933434	PRJNA544721	408170	human gut metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/SRR916/007/SRR9160237/SRR9160237.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR916/007/SRR9160237
SRR9160239	SAMN11852786	SRS4846634	SRX5933432	PRJNA544721	408170	human gut metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/SRR916/009/SRR9160239/SRR9160239.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR916/009/SRR9160239
SRR9160240	SAMN11852785	SRS4846633	SRX5933431	PRJNA544721	408170	human gut metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/SRR916/000/SRR9160240/SRR9160240.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR916/000/SRR9160240
SRR9160243	SAMN11852870	SRS4846629	SRX5933428	PRJNA544721	408170	human gut metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/SRR916/003/SRR9160243/SRR9160243.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR916/003/SRR9160243
SRR9160244	SAMN11852869	SRS4846630	SRX5933427	PRJNA544721	408170	human gut metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/SRR916/004/SRR9160244/SRR9160244.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR916/004/SRR9160244
SRR9160245	SAMN11852872	SRS4846628	SRX5933426	PRJNA544721	408170	human gut metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/SRR916/005/SRR9160245/SRR9160245.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR916/005/SRR9160245
SRR9160246	SAMN11852871	SRS4846626	SRX5933425	PRJNA544721	408170	human gut metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/SRR916/006/SRR9160246/SRR9160246.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR916/006/SRR9160246
SRR9160254	SAMN11852862	SRS4846620	SRX5933417	PRJNA544721	408170	human gut metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/SRR916/004/SRR9160254/SRR9160254.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR916/004/SRR9160254
SRR9160257	SAMN11852857	SRS4846616	SRX5933414	PRJNA544721	408170	human gut metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/SRR916/007/SRR9160257/SRR9160257.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR916/007/SRR9160257
SRR9160258	SAMN11852858	SRS4846615	SRX5933413	PRJNA544721	408170	human gut metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/SRR916/008/SRR9160258/SRR9160258.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR916/008/SRR9160258
SRR9160259	SAMN11852855	SRS4846614	SRX5933412	PRJNA544721	408170	human gut metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/SRR916/009/SRR9160259/SRR9160259.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR916/009/SRR9160259
SRR9160261	SAMN11852863	SRS4846611	SRX5933410	PRJNA544721	408170	human gut metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/SRR916/001/SRR9160261/SRR9160261.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR916/001/SRR9160261
SRR9160262	SAMN11852864	SRS4846612	SRX5933409	PRJNA544721	408170	human gut metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/SRR916/002/SRR9160262/SRR9160262.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR916/002/SRR9160262
SRR9160271	SAMN11852879	SRS4846601	SRX5933400	PRJNA544721	408170	human gut metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/SRR916/001/SRR9160271/SRR9160271.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR916/001/SRR9160271
SRR9160272	SAMN11852880	SRS4846602	SRX5933399	PRJNA544721	408170	human gut metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/SRR916/002/SRR9160272/SRR9160272.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR916/002/SRR9160272
SRR9160275	SAMN11852875	SRS4846598	SRX5933396	PRJNA544721	408170	human gut metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/SRR916/005/SRR9160275/SRR9160275.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR916/005/SRR9160275
SRR9160277	SAMN11852877	SRS4846595	SRX5933394	PRJNA544721	408170	human gut metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/SRR916/007/SRR9160277/SRR9160277.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR916/007/SRR9160277
SRR9160280	SAMN11852853	SRS4846594	SRX5933391	PRJNA544721	408170	human gut metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/SRR916/000/SRR9160280/SRR9160280.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR916/000/SRR9160280
SRR9160281	SAMN11852848	SRS4846592	SRX5933390	PRJNA544721	408170	human gut metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/SRR916/001/SRR9160281/SRR9160281.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR916/001/SRR9160281
SRR9160286	SAMN11852851	SRS4846587	SRX5933385	PRJNA544721	408170	human gut metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/SRR916/006/SRR9160286/SRR9160286.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR916/006/SRR9160286
SRR9160288	SAMN11852849	SRS4846585	SRX5933383	PRJNA544721	408170	human gut metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/SRR916/008/SRR9160288/SRR9160288.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR916/008/SRR9160288
SRR9160291	SAMN11852893	SRS4846580	SRX5933380	PRJNA544721	408170	human gut metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/SRR916/001/SRR9160291/SRR9160291.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR916/001/SRR9160291
SRR9160292	SAMN11852888	SRS4846581	SRX5933379	PRJNA544721	408170	human gut metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/SRR916/002/SRR9160292/SRR9160292.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR916/002/SRR9160292
SRR9160293	SAMN11852887	SRS4846582	SRX5933378	PRJNA544721	408170	human gut metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/SRR916/003/SRR9160293/SRR9160293.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR916/003/SRR9160293
