run_accession	sample_accession	experiment_accession	study_accession	tax_id	scientific_name	fastq_ftp	submitted_ftp	sra_ftp
SRR5725046	SAMN07258056	SRX2941009	PRJNA391149	749906	gut metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/SRR572/006/SRR5725046/SRR5725046.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR572/006/SRR5725046
SRR8417362	SAMN10713167	SRX5226714	PRJNA391149	408170	human gut metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/SRR841/002/SRR8417362/SRR8417362.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR841/002/SRR8417362
SRR8417364	SAMN10713165	SRX5226712	PRJNA391149	408170	human gut metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/SRR841/004/SRR8417364/SRR8417364.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR841/004/SRR8417364
SRR8417368	SAMN10713331	SRX5226708	PRJNA391149	408170	human gut metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/SRR841/008/SRR8417368/SRR8417368.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR841/008/SRR8417368
SRR8417369	SAMN10713330	SRX5226707	PRJNA391149	408170	human gut metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/SRR841/009/SRR8417369/SRR8417369.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR841/009/SRR8417369
SRR8417372	SAMN10713123	SRX5226704	PRJNA391149	408170	human gut metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/SRR841/002/SRR8417372/SRR8417372.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR841/002/SRR8417372
SRR8417373	SAMN10713122	SRX5226703	PRJNA391149	408170	human gut metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/SRR841/003/SRR8417373/SRR8417373.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR841/003/SRR8417373
SRR8417374	SAMN10713328	SRX5226702	PRJNA391149	408170	human gut metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/SRR841/004/SRR8417374/SRR8417374.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR841/004/SRR8417374
SRR8417377	SAMN10713115	SRX5226699	PRJNA391149	408170	human gut metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/SRR841/007/SRR8417377/SRR8417377.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR841/007/SRR8417377
SRR8417379	SAMN10713121	SRX5226697	PRJNA391149	408170	human gut metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/SRR841/009/SRR8417379/SRR8417379.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR841/009/SRR8417379
SRR8417380	SAMN10713120	SRX5226696	PRJNA391149	408170	human gut metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/SRR841/000/SRR8417380/SRR8417380.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR841/000/SRR8417380
SRR8417382	SAMN10713118	SRX5226694	PRJNA391149	408170	human gut metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/SRR841/002/SRR8417382/SRR8417382.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR841/002/SRR8417382
SRR8417384	SAMN10713325	SRX5226692	PRJNA391149	408170	human gut metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/SRR841/004/SRR8417384/SRR8417384.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR841/004/SRR8417384
SRR8417385	SAMN10713348	SRX5226691	PRJNA391149	408170	human gut metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/SRR841/005/SRR8417385/SRR8417385.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR841/005/SRR8417385
SRR8417387	SAMN10713344	SRX5226689	PRJNA391149	408170	human gut metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/SRR841/007/SRR8417387/SRR8417387.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR841/007/SRR8417387
SRR8417392	SAMN10713195	SRX5226684	PRJNA391149	408170	human gut metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/SRR841/002/SRR8417392/SRR8417392.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR841/002/SRR8417392
SRR8417398	SAMN10713203	SRX5226678	PRJNA391149	408170	human gut metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/SRR841/008/SRR8417398/SRR8417398.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR841/008/SRR8417398
SRR8417399	SAMN10713202	SRX5226677	PRJNA391149	408170	human gut metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/SRR841/009/SRR8417399/SRR8417399.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR841/009/SRR8417399
SRR8417401	SAMN10713343	SRX5226675	PRJNA391149	408170	human gut metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/SRR841/001/SRR8417401/SRR8417401.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR841/001/SRR8417401
SRR8417402	SAMN10713192	SRX5226674	PRJNA391149	408170	human gut metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/SRR841/002/SRR8417402/SRR8417402.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR841/002/SRR8417402
SRR8417403	SAMN10713193	SRX5226673	PRJNA391149	408170	human gut metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/SRR841/003/SRR8417403/SRR8417403.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR841/003/SRR8417403
SRR8417408	SAMN10713338	SRX5226668	PRJNA391149	408170	human gut metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/SRR841/008/SRR8417408/SRR8417408.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR841/008/SRR8417408
SRR8417412	SAMN10713243	SRX5226664	PRJNA391149	408170	human gut metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/SRR841/002/SRR8417412/SRR8417412.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR841/002/SRR8417412
SRR8417414	SAMN10713241	SRX5226662	PRJNA391149	408170	human gut metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/SRR841/004/SRR8417414/SRR8417414.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR841/004/SRR8417414
SRR8417415	SAMN10713240	SRX5226661	PRJNA391149	408170	human gut metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/SRR841/005/SRR8417415/SRR8417415.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR841/005/SRR8417415
SRR8417416	SAMN10713239	SRX5226660	PRJNA391149	408170	human gut metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/SRR841/006/SRR8417416/SRR8417416.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR841/006/SRR8417416
SRR8417424	SAMN10713134	SRX5226652	PRJNA391149	408170	human gut metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/SRR841/004/SRR8417424/SRR8417424.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR841/004/SRR8417424
SRR8417431	SAMN10713143	SRX5226645	PRJNA391149	408170	human gut metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/SRR841/001/SRR8417431/SRR8417431.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR841/001/SRR8417431
SRR8417435	SAMN10713284	SRX5226641	PRJNA391149	408170	human gut metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/SRR841/005/SRR8417435/SRR8417435.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR841/005/SRR8417435
SRR8417436	SAMN10713285	SRX5226640	PRJNA391149	408170	human gut metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/SRR841/006/SRR8417436/SRR8417436.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR841/006/SRR8417436
SRR8417438	SAMN10713291	SRX5226638	PRJNA391149	408170	human gut metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/SRR841/008/SRR8417438/SRR8417438.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR841/008/SRR8417438
SRR8417440	SAMN10713289	SRX5226636	PRJNA391149	408170	human gut metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/SRR841/000/SRR8417440/SRR8417440.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR841/000/SRR8417440
SRR8417442	SAMN10713292	SRX5226634	PRJNA391149	408170	human gut metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/SRR841/002/SRR8417442/SRR8417442.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR841/002/SRR8417442
SRR8417445	SAMN10713332	SRX5226631	PRJNA391149	408170	human gut metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/SRR841/005/SRR8417445/SRR8417445.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR841/005/SRR8417445
SRR8417447	SAMN10713213	SRX5226629	PRJNA391149	408170	human gut metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/SRR841/007/SRR8417447/SRR8417447.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR841/007/SRR8417447
SRR8417450	SAMN10713207	SRX5226626	PRJNA391149	408170	human gut metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/SRR841/000/SRR8417450/SRR8417450.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR841/000/SRR8417450
SRR8417452	SAMN10713205	SRX5226624	PRJNA391149	408170	human gut metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/SRR841/002/SRR8417452/SRR8417452.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR841/002/SRR8417452
SRR8417454	SAMN10713104	SRX5226622	PRJNA391149	408170	human gut metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/SRR841/004/SRR8417454/SRR8417454.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR841/004/SRR8417454
SRR8417457	SAMN10713272	SRX5226619	PRJNA391149	408170	human gut metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/SRR841/007/SRR8417457/SRR8417457.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR841/007/SRR8417457
SRR8417459	SAMN10713111	SRX5226617	PRJNA391149	408170	human gut metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/SRR841/009/SRR8417459/SRR8417459.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR841/009/SRR8417459
SRR8417460	SAMN10713110	SRX5226616	PRJNA391149	408170	human gut metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/SRR841/000/SRR8417460/SRR8417460.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR841/000/SRR8417460
SRR8417469	SAMN10713126	SRX5226607	PRJNA391149	408170	human gut metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/SRR841/009/SRR8417469/SRR8417469.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR841/009/SRR8417469
SRR8417473	SAMN10713130	SRX5226603	PRJNA391149	408170	human gut metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/SRR841/003/SRR8417473/SRR8417473.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR841/003/SRR8417473
SRR8417475	SAMN10713128	SRX5226601	PRJNA391149	408170	human gut metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/SRR841/005/SRR8417475/SRR8417475.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR841/005/SRR8417475
