"","Run","host_disease","host_subtype","sample_type","Collection","author","sequencing_tech","variable_region"
"SRR2923787","SRR2923787","NA","NA","stool","1st","Ringel","454 pyrosequencing","V1-V2"
"SRR2923789","SRR2923789","NA","NA","stool","1st","Ringel","454 pyrosequencing","V1-V2"
"SRR2923791","SRR2923791","NA","NA","stool","1st","Ringel","454 pyrosequencing","V1-V2"
"SRR2923792","SRR2923792","NA","NA","stool","1st","Ringel","454 pyrosequencing","V1-V2"
"SRR2923794","SRR2923794","NA","NA","stool","1st","Ringel","454 pyrosequencing","V1-V2"
"SRR2923796","SRR2923796","NA","NA","stool","1st","Ringel","454 pyrosequencing","V1-V2"
"SRR2923797","SRR2923797","NA","NA","stool","1st","Ringel","454 pyrosequencing","V1-V2"
"SRR2923799","SRR2923799","NA","NA","stool","1st","Ringel","454 pyrosequencing","V1-V2"
"SRR2923800","SRR2923800","NA","NA","stool","1st","Ringel","454 pyrosequencing","V1-V2"
"SRR2923802","SRR2923802","NA","NA","stool","1st","Ringel","454 pyrosequencing","V1-V2"
"SRR2923803","SRR2923803","NA","NA","stool","1st","Ringel","454 pyrosequencing","V1-V2"
"SRR2923805","SRR2923805","NA","NA","stool","1st","Ringel","454 pyrosequencing","V1-V2"
"SRR2923806","SRR2923806","NA","NA","stool","1st","Ringel","454 pyrosequencing","V1-V2"
"SRR2923808","SRR2923808","NA","NA","stool","1st","Ringel","454 pyrosequencing","V1-V2"
"SRR2923809","SRR2923809","NA","NA","stool","1st","Ringel","454 pyrosequencing","V1-V2"
"SRR2923811","SRR2923811","NA","NA","stool","1st","Ringel","454 pyrosequencing","V1-V2"
"SRR2923813","SRR2923813","NA","NA","stool","1st","Ringel","454 pyrosequencing","V1-V2"
"SRR2923327","SRR2923327","NA","NA","stool","1st","Ringel","454 pyrosequencing","V1-V2"
"SRR2923348","SRR2923348","NA","NA","stool","1st","Ringel","454 pyrosequencing","V1-V2"
"SRR2923349","SRR2923349","NA","NA","stool","1st","Ringel","454 pyrosequencing","V1-V2"
"SRR2923350","SRR2923350","NA","NA","stool","1st","Ringel","454 pyrosequencing","V1-V2"
