run_accession	sample_accession	experiment_accession	study_accession	tax_id	scientific_name	fastq_ftp	submitted_ftp	sra_ftp
SRR2923348	SAMN04272978	SRX1435929	PRJNA302437	408170	human gut metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/SRR292/008/SRR2923348/SRR2923348.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR292/008/SRR2923348
SRR2923349	SAMN04272978	SRX1435929	PRJNA302437	408170	human gut metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/SRR292/009/SRR2923349/SRR2923349.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR292/009/SRR2923349
SRR2923353	SAMN04272978	SRX1435929	PRJNA302437	408170	human gut metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/SRR292/003/SRR2923353/SRR2923353.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR292/003/SRR2923353
SRR2923358	SAMN04272978	SRX1435929	PRJNA302437	408170	human gut metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/SRR292/008/SRR2923358/SRR2923358.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR292/008/SRR2923358
SRR2923360	SAMN04272978	SRX1435929	PRJNA302437	408170	human gut metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/SRR292/000/SRR2923360/SRR2923360.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR292/000/SRR2923360
SRR2923364	SAMN04272978	SRX1435929	PRJNA302437	408170	human gut metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/SRR292/004/SRR2923364/SRR2923364.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR292/004/SRR2923364
SRR2923365	SAMN04272978	SRX1435929	PRJNA302437	408170	human gut metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/SRR292/005/SRR2923365/SRR2923365.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR292/005/SRR2923365
SRR2923366	SAMN04272978	SRX1435929	PRJNA302437	408170	human gut metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/SRR292/006/SRR2923366/SRR2923366.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR292/006/SRR2923366
SRR2923375	SAMN04272978	SRX1435929	PRJNA302437	408170	human gut metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/SRR292/005/SRR2923375/SRR2923375.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR292/005/SRR2923375
SRR2923376	SAMN04272978	SRX1435929	PRJNA302437	408170	human gut metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/SRR292/006/SRR2923376/SRR2923376.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR292/006/SRR2923376
SRR2923398	SAMN04272978	SRX1435929	PRJNA302437	408170	human gut metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/SRR292/008/SRR2923398/SRR2923398.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR292/008/SRR2923398
SRR2923750	SAMN04272978	SRX1435929	PRJNA302437	408170	human gut metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/SRR292/000/SRR2923750/SRR2923750.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR292/000/SRR2923750
SRR2923761	SAMN04272978	SRX1435929	PRJNA302437	408170	human gut metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/SRR292/001/SRR2923761/SRR2923761.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR292/001/SRR2923761
SRR2923766	SAMN04272978	SRX1435929	PRJNA302437	408170	human gut metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/SRR292/006/SRR2923766/SRR2923766.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR292/006/SRR2923766
SRR2923774	SAMN04272978	SRX1435929	PRJNA302437	408170	human gut metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/SRR292/004/SRR2923774/SRR2923774.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR292/004/SRR2923774
SRR2923791	SAMN04272978	SRX1435929	PRJNA302437	408170	human gut metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/SRR292/001/SRR2923791/SRR2923791.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR292/001/SRR2923791
SRR2923792	SAMN04272978	SRX1435929	PRJNA302437	408170	human gut metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/SRR292/002/SRR2923792/SRR2923792.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR292/002/SRR2923792
SRR2923794	SAMN04272978	SRX1435929	PRJNA302437	408170	human gut metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/SRR292/004/SRR2923794/SRR2923794.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR292/004/SRR2923794
SRR2923796	SAMN04272978	SRX1435929	PRJNA302437	408170	human gut metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/SRR292/006/SRR2923796/SRR2923796.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR292/006/SRR2923796
SRR2923797	SAMN04272978	SRX1435929	PRJNA302437	408170	human gut metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/SRR292/007/SRR2923797/SRR2923797.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR292/007/SRR2923797
SRR2923802	SAMN04272978	SRX1435929	PRJNA302437	408170	human gut metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/SRR292/002/SRR2923802/SRR2923802.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR292/002/SRR2923802
SRR2923805	SAMN04272978	SRX1435929	PRJNA302437	408170	human gut metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/SRR292/005/SRR2923805/SRR2923805.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR292/005/SRR2923805
SRR2923806	SAMN04272978	SRX1435929	PRJNA302437	408170	human gut metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/SRR292/006/SRR2923806/SRR2923806.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR292/006/SRR2923806
SRR2923809	SAMN04272978	SRX1435929	PRJNA302437	408170	human gut metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/SRR292/009/SRR2923809/SRR2923809.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR292/009/SRR2923809
SRR2924475	SAMN04274820	SRX1437870	PRJNA302437	408170	human gut metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/SRR292/005/SRR2924475/SRR2924475.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR292/005/SRR2924475
SRR2924479	SAMN04274820	SRX1437874	PRJNA302437	408170	human gut metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/SRR292/009/SRR2924479/SRR2924479.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR292/009/SRR2924479
SRR2924481	SAMN04274820	SRX1437876	PRJNA302437	408170	human gut metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/SRR292/001/SRR2924481/SRR2924481.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR292/001/SRR2924481
SRR2924483	SAMN04274820	SRX1437878	PRJNA302437	408170	human gut metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/SRR292/003/SRR2924483/SRR2924483.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR292/003/SRR2924483
SRR2924486	SAMN04274820	SRX1437881	PRJNA302437	408170	human gut metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/SRR292/006/SRR2924486/SRR2924486.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR292/006/SRR2924486
SRR2924496	SAMN04274820	SRX1437889	PRJNA302437	408170	human gut metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/SRR292/006/SRR2924496/SRR2924496.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR292/006/SRR2924496
SRR2924497	SAMN04274820	SRX1437890	PRJNA302437	408170	human gut metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/SRR292/007/SRR2924497/SRR2924497.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR292/007/SRR2924497
SRR2924498	SAMN04274820	SRX1437891	PRJNA302437	408170	human gut metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/SRR292/008/SRR2924498/SRR2924498.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR292/008/SRR2924498
SRR2924499	SAMN04274820	SRX1437892	PRJNA302437	408170	human gut metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/SRR292/009/SRR2924499/SRR2924499.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR292/009/SRR2924499
SRR2924500	SAMN04274820	SRX1437893	PRJNA302437	408170	human gut metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/SRR292/000/SRR2924500/SRR2924500.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR292/000/SRR2924500
SRR2924501	SAMN04274820	SRX1437894	PRJNA302437	408170	human gut metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/SRR292/001/SRR2924501/SRR2924501.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR292/001/SRR2924501
SRR2924505	SAMN04274820	SRX1437898	PRJNA302437	408170	human gut metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/SRR292/005/SRR2924505/SRR2924505.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR292/005/SRR2924505
SRR2924516	SAMN04274820	SRX1437909	PRJNA302437	408170	human gut metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/SRR292/006/SRR2924516/SRR2924516.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR292/006/SRR2924516
SRR2924526	SAMN04274820	SRX1437920	PRJNA302437	408170	human gut metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/SRR292/006/SRR2924526/SRR2924526.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR292/006/SRR2924526
SRR2924530	SAMN04274820	SRX1437924	PRJNA302437	408170	human gut metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/SRR292/000/SRR2924530/SRR2924530.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR292/000/SRR2924530
SRR2924535	SAMN04274820	SRX1437928	PRJNA302437	408170	human gut metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/SRR292/005/SRR2924535/SRR2924535.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR292/005/SRR2924535
SRR2924537	SAMN04274820	SRX1437930	PRJNA302437	408170	human gut metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/SRR292/007/SRR2924537/SRR2924537.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR292/007/SRR2924537
SRR2924538	SAMN04274820	SRX1437931	PRJNA302437	408170	human gut metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/SRR292/008/SRR2924538/SRR2924538.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR292/008/SRR2924538
SRR2924539	SAMN04274820	SRX1437932	PRJNA302437	408170	human gut metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/SRR292/009/SRR2924539/SRR2924539.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR292/009/SRR2924539
SRR2924541	SAMN04274820	SRX1437934	PRJNA302437	408170	human gut metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/SRR292/001/SRR2924541/SRR2924541.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR292/001/SRR2924541
SRR2924544	SAMN04274820	SRX1437937	PRJNA302437	408170	human gut metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/SRR292/004/SRR2924544/SRR2924544.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR292/004/SRR2924544
SRR2924546	SAMN04274820	SRX1437939	PRJNA302437	408170	human gut metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/SRR292/006/SRR2924546/SRR2924546.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR292/006/SRR2924546
SRR2924548	SAMN04274820	SRX1437941	PRJNA302437	408170	human gut metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/SRR292/008/SRR2924548/SRR2924548.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR292/008/SRR2924548
SRR2924549	SAMN04274820	SRX1437942	PRJNA302437	408170	human gut metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/SRR292/009/SRR2924549/SRR2924549.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR292/009/SRR2924549
