run_accession	sample_accession	experiment_accession	study_accession	tax_id	scientific_name	fastq_ftp	submitted_ftp	sra_ftp
SRR10142826	SAMN12784927	SRX6870779	PRJNA566284	9606	Homo sapiens	ftp.sra.ebi.ac.uk/vol1/fastq/SRR101/026/SRR10142826/SRR10142826_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR101/026/SRR10142826/SRR10142826_2.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR101/026/SRR10142826
SRR10142829	SAMN12784924	SRX6870776	PRJNA566284	9606	Homo sapiens	ftp.sra.ebi.ac.uk/vol1/fastq/SRR101/029/SRR10142829/SRR10142829_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR101/029/SRR10142829/SRR10142829_2.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR101/029/SRR10142829
SRR10142830	SAMN12784923	SRX6870775	PRJNA566284	9606	Homo sapiens	ftp.sra.ebi.ac.uk/vol1/fastq/SRR101/030/SRR10142830/SRR10142830_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR101/030/SRR10142830/SRR10142830_2.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR101/030/SRR10142830
SRR10142833	SAMN12784946	SRX6870772	PRJNA566284	9606	Homo sapiens	ftp.sra.ebi.ac.uk/vol1/fastq/SRR101/033/SRR10142833/SRR10142833_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR101/033/SRR10142833/SRR10142833_2.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR101/033/SRR10142833
SRR10142835	SAMN12784944	SRX6870770	PRJNA566284	9606	Homo sapiens	ftp.sra.ebi.ac.uk/vol1/fastq/SRR101/035/SRR10142835/SRR10142835_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR101/035/SRR10142835/SRR10142835_2.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR101/035/SRR10142835
SRR10142836	SAMN12784943	SRX6870769	PRJNA566284	9606	Homo sapiens	ftp.sra.ebi.ac.uk/vol1/fastq/SRR101/036/SRR10142836/SRR10142836_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR101/036/SRR10142836/SRR10142836_2.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR101/036/SRR10142836
SRR10142838	SAMN12784941	SRX6870767	PRJNA566284	9606	Homo sapiens	ftp.sra.ebi.ac.uk/vol1/fastq/SRR101/038/SRR10142838/SRR10142838_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR101/038/SRR10142838/SRR10142838_2.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR101/038/SRR10142838
SRR10142841	SAMN12784938	SRX6870764	PRJNA566284	9606	Homo sapiens	ftp.sra.ebi.ac.uk/vol1/fastq/SRR101/041/SRR10142841/SRR10142841_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR101/041/SRR10142841/SRR10142841_2.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR101/041/SRR10142841
SRR10142843	SAMN12784937	SRX6870762	PRJNA566284	9606	Homo sapiens	ftp.sra.ebi.ac.uk/vol1/fastq/SRR101/043/SRR10142843/SRR10142843_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR101/043/SRR10142843/SRR10142843_2.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR101/043/SRR10142843
SRR10142849	SAMN12784931	SRX6870756	PRJNA566284	9606	Homo sapiens	ftp.sra.ebi.ac.uk/vol1/fastq/SRR101/049/SRR10142849/SRR10142849_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR101/049/SRR10142849/SRR10142849_2.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR101/049/SRR10142849
