Run,Assay Type,AvgSpotLen,Bases,BioProject,BioSample,BioSampleModel,Bytes,Center Name,Collection_Date,Consent,DATASTORE filetype,DATASTORE provider,DATASTORE region,Experiment,geo_loc_name_country,geo_loc_name_country_continent,geo_loc_name,Host,Instrument,Isolation_source,label,lat_lon,Library Name,LibraryLayout,LibrarySelection,LibrarySource,Organism,Platform,ref_biomaterial,ReleaseDate,Sample Name,SRA Study
SRR1763540,AMPLICON,306,24721603,PRJNA268708,SAMN03223990,Metagenome or environmental,13830570,VHIR,2012-01-09,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX845713,Spain,Europe,Spain,Homo sapiens,Illumina MiSeq,human feces,MO.59.2,41.3833 N 2.1833 E,,SINGLE,PCR,METAGENOMIC,human gut metagenome,ILLUMINA,feces,2015-08-11T00:00:00Z,MO.59.2,SRP050404
SRR1763554,AMPLICON,307,25696980,PRJNA268708,SAMN03223991,Metagenome or environmental,14483274,VHIR,2012-01-09,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX845747,Spain,Europe,Spain,Homo sapiens,Illumina MiSeq,human feces,MO.60.2,41.3833 N 2.1833 E,,SINGLE,PCR,METAGENOMIC,human gut metagenome,ILLUMINA,feces,2015-08-11T00:00:00Z,MO.60.2,SRP050404
SRR1763557,AMPLICON,308,23080885,PRJNA268708,SAMN03223992,Metagenome or environmental,12724168,VHIR,2012-01-09,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX845750,Spain,Europe,Spain,Homo sapiens,Illumina MiSeq,human feces,MO.61.2,41.3833 N 2.1833 E,,SINGLE,PCR,METAGENOMIC,human gut metagenome,ILLUMINA,feces,2015-08-11T00:00:00Z,MO.61.2,SRP050404
SRR1763560,AMPLICON,307,23005133,PRJNA268708,SAMN03223993,Metagenome or environmental,12711975,VHIR,2012-01-09,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX845752,Spain,Europe,Spain,Homo sapiens,Illumina MiSeq,human feces,MO.62.2,41.3833 N 2.1833 E,,SINGLE,PCR,METAGENOMIC,human gut metagenome,ILLUMINA,feces,2015-08-11T00:00:00Z,MO.62.2,SRP050404
SRR1763564,AMPLICON,307,21504746,PRJNA268708,SAMN03223994,Metagenome or environmental,12064947,VHIR,2012-01-09,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX845757,Spain,Europe,Spain,Homo sapiens,Illumina MiSeq,human feces,MO.63.2,41.3833 N 2.1833 E,,SINGLE,PCR,METAGENOMIC,human gut metagenome,ILLUMINA,feces,2015-08-11T00:00:00Z,MO.63.2,SRP050404
SRR1763566,AMPLICON,306,23928115,PRJNA268708,SAMN03223995,Metagenome or environmental,13538637,VHIR,2012-01-09,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX845759,Spain,Europe,Spain,Homo sapiens,Illumina MiSeq,human feces,MO.64.2,41.3833 N 2.1833 E,,SINGLE,PCR,METAGENOMIC,human gut metagenome,ILLUMINA,feces,2015-08-11T00:00:00Z,MO.64.2,SRP050404
SRR1763569,AMPLICON,307,24934850,PRJNA268708,SAMN03223996,Metagenome or environmental,13992942,VHIR,2012-01-09,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX845761,Spain,Europe,Spain,Homo sapiens,Illumina MiSeq,human feces,MO.65.2,41.3833 N 2.1833 E,,SINGLE,PCR,METAGENOMIC,human gut metagenome,ILLUMINA,feces,2015-08-11T00:00:00Z,MO.65.2,SRP050404
SRR1763571,AMPLICON,308,25874790,PRJNA268708,SAMN03223997,Metagenome or environmental,14192909,VHIR,2012-01-09,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX845764,Spain,Europe,Spain,Homo sapiens,Illumina MiSeq,human feces,MO.66.2,41.3833 N 2.1833 E,,SINGLE,PCR,METAGENOMIC,human gut metagenome,ILLUMINA,feces,2015-08-11T00:00:00Z,MO.66.2,SRP050404
SRR1763572,AMPLICON,307,27841952,PRJNA268708,SAMN03223998,Metagenome or environmental,15470398,VHIR,2012-01-09,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX845765,Spain,Europe,Spain,Homo sapiens,Illumina MiSeq,human feces,MO.67.2,41.3833 N 2.1833 E,,SINGLE,PCR,METAGENOMIC,human gut metagenome,ILLUMINA,feces,2015-08-11T00:00:00Z,MO.67.2,SRP050404
SRR1763573,AMPLICON,306,20931152,PRJNA268708,SAMN03223999,Metagenome or environmental,11828799,VHIR,2012-01-09,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX845766,Spain,Europe,Spain,Homo sapiens,Illumina MiSeq,human feces,MO.68.2,41.3833 N 2.1833 E,,SINGLE,PCR,METAGENOMIC,human gut metagenome,ILLUMINA,feces,2015-08-11T00:00:00Z,MO.68.2,SRP050404
