"","Run","author","sequencing_tech","variable_region"
"SRR2923327","SRR2923327","Ringel","454 pyrosequencing","V1-V2"
"SRR2923348","SRR2923348","Ringel","454 pyrosequencing","V1-V2"
"SRR2923349","SRR2923349","Ringel","454 pyrosequencing","V1-V2"
"SRR2923350","SRR2923350","Ringel","454 pyrosequencing","V1-V2"
"SRR2923351","SRR2923351","Ringel","454 pyrosequencing","V1-V2"
"SRR2923353","SRR2923353","Ringel","454 pyrosequencing","V1-V2"
"SRR2923354","SRR2923354","Ringel","454 pyrosequencing","V1-V2"
"SRR2923355","SRR2923355","Ringel","454 pyrosequencing","V1-V2"
"SRR2923356","SRR2923356","Ringel","454 pyrosequencing","V1-V2"
"SRR2923357","SRR2923357","Ringel","454 pyrosequencing","V1-V2"
"SRR2923358","SRR2923358","Ringel","454 pyrosequencing","V1-V2"
"SRR2923359","SRR2923359","Ringel","454 pyrosequencing","V1-V2"
"SRR2923360","SRR2923360","Ringel","454 pyrosequencing","V1-V2"
"SRR2923361","SRR2923361","Ringel","454 pyrosequencing","V1-V2"
"SRR2923362","SRR2923362","Ringel","454 pyrosequencing","V1-V2"
"SRR2923363","SRR2923363","Ringel","454 pyrosequencing","V1-V2"
"SRR2923364","SRR2923364","Ringel","454 pyrosequencing","V1-V2"
"SRR2923365","SRR2923365","Ringel","454 pyrosequencing","V1-V2"
"SRR2923366","SRR2923366","Ringel","454 pyrosequencing","V1-V2"
"SRR2923368","SRR2923368","Ringel","454 pyrosequencing","V1-V2"
"SRR2923369","SRR2923369","Ringel","454 pyrosequencing","V1-V2"
"SRR2923371","SRR2923371","Ringel","454 pyrosequencing","V1-V2"
"SRR2923373","SRR2923373","Ringel","454 pyrosequencing","V1-V2"
"SRR2923375","SRR2923375","Ringel","454 pyrosequencing","V1-V2"
"SRR2923376","SRR2923376","Ringel","454 pyrosequencing","V1-V2"
"SRR2923378","SRR2923378","Ringel","454 pyrosequencing","V1-V2"
"SRR2923380","SRR2923380","Ringel","454 pyrosequencing","V1-V2"
"SRR2923382","SRR2923382","Ringel","454 pyrosequencing","V1-V2"
"SRR2923383","SRR2923383","Ringel","454 pyrosequencing","V1-V2"
"SRR2923385","SRR2923385","Ringel","454 pyrosequencing","V1-V2"
"SRR2923387","SRR2923387","Ringel","454 pyrosequencing","V1-V2"
"SRR2923390","SRR2923390","Ringel","454 pyrosequencing","V1-V2"
"SRR2923391","SRR2923391","Ringel","454 pyrosequencing","V1-V2"
"SRR2923393","SRR2923393","Ringel","454 pyrosequencing","V1-V2"
"SRR2923395","SRR2923395","Ringel","454 pyrosequencing","V1-V2"
"SRR2923397","SRR2923397","Ringel","454 pyrosequencing","V1-V2"
"SRR2923398","SRR2923398","Ringel","454 pyrosequencing","V1-V2"
"SRR2923399","SRR2923399","Ringel","454 pyrosequencing","V1-V2"
"SRR2923400","SRR2923400","Ringel","454 pyrosequencing","V1-V2"
"SRR2923747","SRR2923747","Ringel","454 pyrosequencing","V1-V2"
"SRR2923748","SRR2923748","Ringel","454 pyrosequencing","V1-V2"
"SRR2923749","SRR2923749","Ringel","454 pyrosequencing","V1-V2"
"SRR2923750","SRR2923750","Ringel","454 pyrosequencing","V1-V2"
"SRR2923751","SRR2923751","Ringel","454 pyrosequencing","V1-V2"
"SRR2923752","SRR2923752","Ringel","454 pyrosequencing","V1-V2"
"SRR2923754","SRR2923754","Ringel","454 pyrosequencing","V1-V2"
"SRR2923755","SRR2923755","Ringel","454 pyrosequencing","V1-V2"
"SRR2923757","SRR2923757","Ringel","454 pyrosequencing","V1-V2"
"SRR2923759","SRR2923759","Ringel","454 pyrosequencing","V1-V2"
"SRR2923761","SRR2923761","Ringel","454 pyrosequencing","V1-V2"
"SRR2923763","SRR2923763","Ringel","454 pyrosequencing","V1-V2"
"SRR2923765","SRR2923765","Ringel","454 pyrosequencing","V1-V2"
"SRR2923766","SRR2923766","Ringel","454 pyrosequencing","V1-V2"
"SRR2923768","SRR2923768","Ringel","454 pyrosequencing","V1-V2"
"SRR2923771","SRR2923771","Ringel","454 pyrosequencing","V1-V2"
"SRR2923772","SRR2923772","Ringel","454 pyrosequencing","V1-V2"
"SRR2923773","SRR2923773","Ringel","454 pyrosequencing","V1-V2"
"SRR2923774","SRR2923774","Ringel","454 pyrosequencing","V1-V2"
"SRR2923787","SRR2923787","Ringel","454 pyrosequencing","V1-V2"
"SRR2923789","SRR2923789","Ringel","454 pyrosequencing","V1-V2"
"SRR2923791","SRR2923791","Ringel","454 pyrosequencing","V1-V2"
"SRR2923792","SRR2923792","Ringel","454 pyrosequencing","V1-V2"
"SRR2923794","SRR2923794","Ringel","454 pyrosequencing","V1-V2"
"SRR2923796","SRR2923796","Ringel","454 pyrosequencing","V1-V2"
"SRR2923797","SRR2923797","Ringel","454 pyrosequencing","V1-V2"
"SRR2923799","SRR2923799","Ringel","454 pyrosequencing","V1-V2"
"SRR2923800","SRR2923800","Ringel","454 pyrosequencing","V1-V2"
"SRR2923802","SRR2923802","Ringel","454 pyrosequencing","V1-V2"
"SRR2923803","SRR2923803","Ringel","454 pyrosequencing","V1-V2"
"SRR2923805","SRR2923805","Ringel","454 pyrosequencing","V1-V2"
"SRR2923806","SRR2923806","Ringel","454 pyrosequencing","V1-V2"
"SRR2923808","SRR2923808","Ringel","454 pyrosequencing","V1-V2"
"SRR2923809","SRR2923809","Ringel","454 pyrosequencing","V1-V2"
"SRR2923811","SRR2923811","Ringel","454 pyrosequencing","V1-V2"
"SRR2923813","SRR2923813","Ringel","454 pyrosequencing","V1-V2"
