#SampleID	Sex
17_IonXpress_003_rawlib_fil	F
17_IonXpress_004_rawlib_fil	F
17_IonXpress_007_rawlib_fil	F
17_IonXpress_008_rawlib_fil	F
17_IonXpress_019_rawlib_fil	F
17_IonXpress_020_rawlib_fil	F
28_IonXpress_001_rawlib_fil	F
28_IonXpress_002_rawlib_fil	F
28_IonXpress_003_rawlib_fil	F
28_IonXpress_004_rawlib_fil	F
28_IonXpress_005_rawlib_fil	F
28_IonXpress_006_rawlib_fil	F
28_IonXpress_007_rawlib_fil	M
28_IonXpress_008_rawlib_fil	M
28_IonXpress_009_rawlib_fil	M
28_IonXpress_010_rawlib_fil	M
28_IonXpress_011_rawlib_fil	M
28_IonXpress_012_rawlib_fil	M
28_IonXpress_015_rawlib_fil	F
28_IonXpress_016_rawlib_fil	F
28_IonXpress_017_rawlib_fil	F
28_IonXpress_018_rawlib_fil	F
28_IonXpress_019_rawlib_fil	F
28_IonXpress_020_rawlib_fil	F
28_IonXpress_021_rawlib_fil	CONTROL
28_IonXpress_022_rawlib_fil	CONTROL
28_IonXpress_023_rawlib_fil	CONTROL
28_IonXpress_024_rawlib_fil	CONTROL
28_IonXpress_025_rawlib_fil	CONTROL
28_IonXpress_026_rawlib_fil	CONTROL
28_IonXpress_027_rawlib_fil	CONTROL
28_IonXpress_028_rawlib_fil	CONTROL
28_IonXpress_029_rawlib_fil	CONTROL
28_IonXpress_030_rawlib_fil	CONTROL
28_IonXpress_031_rawlib_fil	CONTROL
28_IonXpress_032_rawlib_fil	CONTROL
32_IonXpress_001_rawlib_fil	F
32_IonXpress_002_rawlib_fil	F
32_IonXpress_003_rawlib_fil	M
32_IonXpress_004_rawlib_fil	M
32_IonXpress_005_rawlib_fil	F
32_IonXpress_006_rawlib_fil	F
32_IonXpress_007_rawlib_fil	F
32_IonXpress_008_rawlib_fil	F
32_IonXpress_009_rawlib_fil	M
32_IonXpress_010_rawlib_fil	M
32_IonXpress_011_rawlib_fil	F
32_IonXpress_012_rawlib_fil	F
32_IonXpress_013_rawlib_fil	CONTROL
32_IonXpress_015_rawlib_fil	M
32_IonXpress_016_rawlib_fil	M
32_IonXpress_017_rawlib_fil	F
32_IonXpress_018_rawlib_fil	F
32_IonXpress_019_rawlib_fil	F
32_IonXpress_020_rawlib_fil	F
32_IonXpress_033_rawlib_fil	CONTROL
32_IonXpress_034_rawlib_fil	CONTROL
32_IonXpress_035_rawlib_fil	CONTROL
32_IonXpress_036_rawlib_fil	CONTROL
32_IonXpress_037_rawlib_fil	F
32_IonXpress_038_rawlib_fil	F
32_IonXpress_039_rawlib_fil	F
32_IonXpress_040_rawlib_fil	F
32_IonXpress_041_rawlib_fil	F
32_IonXpress_042_rawlib_fil	F
32_IonXpress_043_rawlib_fil	F
32_IonXpress_044_rawlib_fil	F
35_IonXpress_001_rawlib_fil	F
35_IonXpress_002_rawlib_fil	F
35_IonXpress_003_rawlib_fil	F
35_IonXpress_004_rawlib_fil	F
35_IonXpress_005_rawlib_fil	M
35_IonXpress_006_rawlib_fil	M
35_IonXpress_007_rawlib_fil	F
35_IonXpress_008_rawlib_fil	F
35_IonXpress_009_rawlib_fil	F
35_IonXpress_010_rawlib_fil	F
35_IonXpress_011_rawlib_fil	CONTROL
35_IonXpress_012_rawlib_fil	CONTROL
35_IonXpress_013_rawlib_fil	CONTROL
35_IonXpress_014_rawlib_fil	CONTROL
35_IonXpress_015_rawlib_fil	CONTROL
35_IonXpress_016_rawlib_fil	CONTROL
35_IonXpress_017_rawlib_fil	CONTROL
35_IonXpress_018_rawlib_fil	CONTROL
35_IonXpress_019_rawlib_fil	F
35_IonXpress_020_rawlib_fil	F
35_IonXpress_021_rawlib_fil	F
35_IonXpress_022_rawlib_fil	F
35_IonXpress_023_rawlib_fil	F
35_IonXpress_024_rawlib_fil	F
35_IonXpress_025_rawlib_fil	M
35_IonXpress_026_rawlib_fil	M
35_IonXpress_027_rawlib_fil	F
35_IonXpress_028_rawlib_fil	F
35_IonXpress_029_rawlib_fil	F
35_IonXpress_030_rawlib_fil	F
35_IonXpress_031_rawlib_fil	F
35_IonXpress_032_rawlib_fil	F
36_IonXpress_017_rawlib_fil	F
36_IonXpress_018_rawlib_fil	F
36_IonXpress_019_rawlib_fil	F
36_IonXpress_020_rawlib_fil	F
36_IonXpress_021_rawlib_fil	F
36_IonXpress_022_rawlib_fil	F
36_IonXpress_023_rawlib_fil	F
36_IonXpress_024_rawlib_fil	F
36_IonXpress_025_rawlib_fil	F
36_IonXpress_026_rawlib_fil	F
36_IonXpress_027_rawlib_fil	F
36_IonXpress_028_rawlib_fil	F
36_IonXpress_029_rawlib_fil	M
36_IonXpress_030_rawlib_fil	M
36_IonXpress_031_rawlib_fil	M
36_IonXpress_032_rawlib_fil	M
36_IonXpress_033_rawlib_fil	F
36_IonXpress_034_rawlib_fil	F
36_IonXpress_035_rawlib_fil	F
36_IonXpress_036_rawlib_fil	F
36_IonXpress_037_rawlib_fil	F
36_IonXpress_038_rawlib_fil	F
36_IonXpress_039_rawlib_fil	F
36_IonXpress_040_rawlib_fil	F
36_IonXpress_041_rawlib_fil	F
36_IonXpress_042_rawlib_fil	F
36_IonXpress_043_rawlib_fil	M
36_IonXpress_044_rawlib_fil	M
36_IonXpress_045_rawlib_fil	F
36_IonXpress_046_rawlib_fil	F
36_IonXpress_047_rawlib_fil	CONTROL
36_IonXpress_048_rawlib_fil	CONTROL
39_IonXpress_001_rawlib_fil	F
39_IonXpress_002_rawlib_fil	F
39_IonXpress_003_rawlib_fil	F
39_IonXpress_004_rawlib_fil	F
39_IonXpress_005_rawlib_fil	M
39_IonXpress_006_rawlib_fil	M
39_IonXpress_009_rawlib_fil	F
39_IonXpress_010_rawlib_fil	F
39_IonXpress_011_rawlib_fil	CONTROL
39_IonXpress_012_rawlib_fil	CONTROL
39_IonXpress_014_rawlib_fil	CONTROL
39_IonXpress_015_rawlib_fil	F
39_IonXpress_016_rawlib_fil	F
39_IonXpress_017_rawlib_fil	NA
39_IonXpress_018_rawlib_fil	NA
39_IonXpress_019_rawlib_fil	NA
39_IonXpress_020_rawlib_fil	NA
39_IonXpress_021_rawlib_fil	NA
39_IonXpress_022_rawlib_fil	NA
39_IonXpress_023_rawlib_fil	NA
39_IonXpress_024_rawlib_fil	NA
39_IonXpress_025_rawlib_fil	NA
39_IonXpress_026_rawlib_fil	NA
39_IonXpress_027_rawlib_fil	NA
39_IonXpress_028_rawlib_fil	NA
39_IonXpress_029_rawlib_fil	NA
39_IonXpress_030_rawlib_fil	NA
39_IonXpress_031_rawlib_fil	NA
39_IonXpress_032_rawlib_fil	NA
39_IonXpress_033_rawlib_fil	NA
39_IonXpress_034_rawlib_fil	NA
IonXpress_001_rawlib_fil	F
IonXpress_002_rawlib_fil	F
IonXpress_003_rawlib_fil	M
IonXpress_004_rawlib_fil	M
IonXpress_005_rawlib_fil	M
IonXpress_006_rawlib_fil	M
IonXpress_007_rawlib_fil	M
IonXpress_008_rawlib_fil	M
IonXpress_009_rawlib_fil	F
IonXpress_010_rawlib_fil	F
IonXpress_011_rawlib_fil	F
IonXpress_012_rawlib_fil	F
IonXpress_013_rawlib_fil	F
IonXpress_014_rawlib_fil	F
