run_accession	sample_accession	experiment_accession	study_accession	tax_id	scientific_name	fastq_ftp	submitted_ftp	sra_ftp
ERR1055228	SAMEA3594798	ERX1135513	PRJEB11252	408170	human gut metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/ERR105/008/ERR1055228/ERR1055228.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR105/ERR1055228/20_IonXpress_042_rawlib.basecaller.bam	
ERR1051014	SAMEA3594624	ERX1131299	PRJEB11252	408170	human gut metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/ERR105/004/ERR1051014/ERR1051014.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR105/ERR1051014/17_IonXpress_004_rawlib.basecaller.bam	
ERR1051019	SAMEA3594629	ERX1131304	PRJEB11252	408170	human gut metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/ERR105/009/ERR1051019/ERR1051019.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR105/ERR1051019/28_IonXpress_001_rawlib.basecaller_28.bam	
ERR1051021	SAMEA3594631	ERX1131306	PRJEB11252	408170	human gut metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/ERR105/001/ERR1051021/ERR1051021.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR105/ERR1051021/28_IonXpress_005_rawlib.basecaller_28.bam	
ERR1051024	SAMEA3594634	ERX1131309	PRJEB11252	408170	human gut metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/ERR105/004/ERR1051024/ERR1051024.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR105/ERR1051024/28_IonXpress_008_rawlib.basecaller_28.bam	
ERR1051026	SAMEA3594636	ERX1131311	PRJEB11252	408170	human gut metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/ERR105/006/ERR1051026/ERR1051026.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR105/ERR1051026/28_IonXpress_010_rawlib.basecaller_28.bam	
ERR1051029	SAMEA3594639	ERX1131314	PRJEB11252	408170	human gut metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/ERR105/009/ERR1051029/ERR1051029.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR105/ERR1051029/28_IonXpress_015_rawlib.basecaller_28.bam	
ERR1051032	SAMEA3594642	ERX1131317	PRJEB11252	408170	human gut metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/ERR105/002/ERR1051032/ERR1051032.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR105/ERR1051032/28_IonXpress_018_rawlib.basecaller_28.bam	
ERR1051034	SAMEA3594644	ERX1131319	PRJEB11252	408170	human gut metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/ERR105/004/ERR1051034/ERR1051034.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR105/ERR1051034/28_IonXpress_020_rawlib.basecaller_28.bam	
ERR1051036	SAMEA3594646	ERX1131321	PRJEB11252	408170	human gut metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/ERR105/006/ERR1051036/ERR1051036.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR105/ERR1051036/28_IonXpress_022_rawlib.basecaller.bam	
ERR1051037	SAMEA3594647	ERX1131322	PRJEB11252	408170	human gut metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/ERR105/007/ERR1051037/ERR1051037.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR105/ERR1051037/28_IonXpress_023_rawlib.basecaller.bam	
